Date	Hour_string	UserId	Group	LearningObjective	Correct	Progress	Color
2015-03-23	09 - 10 uur	40285	Getallen	Gehele getallen plaatsen op getallenlijn	1	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40271	Getallen	Afronden op hele getallen	1	7	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40283	Getallen	Afronden op hele getallen	1	33	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40278	Getallen	Schatten door afronden	0	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40271	Getallen	Afronden op hele getallen	1	5	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40285	Getallen	Gehele getallen plaatsen op getallenlijn	1	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40283	Getallen	Afronden op hele getallen	1	28	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40284	Getallen	Afronden op hele getallen	1	13	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	68421	Getallen	Schatten door afronden	1	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40271	Getallen	Afronden op hele getallen	1	4	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40278	Getallen	Schatten door afronden	0	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40267	Getallen	Schatten door afronden	1	9	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40285	Getallen	Gehele getallen plaatsen op getallenlijn	1	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40267	Getallen	Schatten door afronden	0	-18	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40283	Getallen	Afronden op hele getallen	1	13	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40272	Meten	Meetinstrumenten aflezen - Klokkijken	0	-6	rgba(255, 165, 0, 0.8)
2015-03-23	09 - 10 uur	40271	Getallen	Afronden op hele getallen	1	2	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	68421	Getallen	Schatten door afronden	1	41	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40278	Getallen	Schatten door afronden	0	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40267	Getallen	Schatten door afronden	1	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40271	Getallen	Afronden op hele getallen	1	4	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40283	Getallen	Afronden op hele getallen	0	-86	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40284	Getallen	Afronden op hele getallen	1	15	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40272	Meten	Meetinstrumenten aflezen - Klokkijken	1	0	rgba(255, 165, 0, 0.8)
2015-03-23	09 - 10 uur	40278	Getallen	Schatten door afronden	0	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40285	Getallen	Afronden op hele getallen	1	33	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40283	Getallen	Afronden op hele getallen	1	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	68421	Getallen	Schatten door afronden	0	-62	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40278	Getallen	Schatten door afronden	0	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40275	Getallen	Schatten door afronden	1	14	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40277	Getallen	Optellen en aftrekken tot ±1000	1	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40267	Getallen	Gehele getallen plaatsen op getallenlijn	1	5	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40284	Getallen	Afronden op hele getallen	1	6	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40271	Getallen	Afronden op hele getallen	1	3	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40285	Getallen	Afronden op hele getallen	1	28	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	68421	Getallen	Schatten door afronden	1	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40283	Getallen	Afronden op hele getallen	1	10	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40284	Getallen	Afronden op hele getallen	1	7	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40267	Getallen	Gehele getallen plaatsen op getallenlijn	1	4	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40283	Getallen	Afronden op hele getallen	1	12	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	68421	Getallen	Schatten door afronden	1	36	rgba(0, 128, 0, 0.8)
